head_key,module_id,mean_cosine,median_cosine,min_cosine,max_cosine,std,q05,q95,n_pairs
evo2__mod0001__h16,1,0.9885253632911528,0.9929636716842651,0.9506326913833618,0.9994024634361267,0.009990574721414753,0.968540370464325,0.9981371164321899,4950
evo2__mod0001__h17,1,0.9892641154202548,0.9922264814376831,0.9215419292449951,0.9995414018630981,0.009492291165023084,0.9712086319923401,0.9983301758766174,4950
evo2__mod0002__h14,2,0.9897636686310624,0.9940446615219116,0.9649045467376709,0.9996545314788818,0.0090691706319712,0.9721182584762573,0.9986106157302856,4950
evo2__mod0003__h12,3,0.9899812281372571,0.9947393536567688,0.9668874740600586,0.9994915723800659,0.009394395523378726,0.9717548489570618,0.9986878633499146,4950
evo2__mod0000__h08,0,0.9902556141819617,0.9905674457550049,0.9749112129211426,0.99901282787323,0.003927670833184335,0.9830860495567322,0.9960656762123108,4950
evo2__mod0001__h08,1,0.9905392841136816,0.9940675497055054,0.9548474550247192,0.9995924830436707,0.008441481660430931,0.9738048315048218,0.9985794425010681,4950
evo2__mod0003__h30,3,0.9905612138425461,0.9952511787414551,0.9644533395767212,0.9995265007019043,0.009080944411832157,0.9726787209510803,0.9988209009170532,4950
evo2__mod0001__h29,1,0.9907001931137509,0.9939505457878113,0.9607204794883728,0.9994080662727356,0.007642403661249159,0.9751906394958496,0.9981594085693359,4950
evo2__mod0002__h17,2,0.9911596667164504,0.9943906664848328,0.9641029238700867,0.9996654987335205,0.007733886551221182,0.9754626154899597,0.9988391995429993,4950
evo2__mod0000__h19,0,0.9916958258368752,0.9925150871276855,0.9640309810638428,0.9993664622306824,0.004195460826125251,0.9841799736022949,0.9967333078384399,4950
evo2__mod0002__h19,2,0.9928278496409908,0.9963976740837097,0.9720337390899658,0.9997163414955139,0.006771463926488525,0.9801063537597656,0.9990846514701843,4950
evo2__mod0001__h19,1,0.9929365187582343,0.9950906038284302,0.9603695869445801,0.9995223879814148,0.006597848796862168,0.9771961569786072,0.9987688660621643,4950
evo2__mod0000__h12,0,0.9929779428063017,0.9931373000144958,0.9819244146347046,0.9993380308151245,0.0025300410614404628,0.9884549975395203,0.9967657327651978,4950
evo2__mod0002__h27,2,0.9930707203619408,0.9959886074066162,0.9686291217803955,0.9997520446777344,0.006565180045955474,0.9800693392753601,0.9993038773536682,4950
evo2__mod0001__h31,1,0.99348016464349,0.9963085055351257,0.9363340139389038,0.9997426867485046,0.00827790667754032,0.9812348484992981,0.9989878535270691,4950
evo2__mod0001__h23,1,0.9936617789364824,0.9960813522338867,0.9721800684928894,0.9997424483299255,0.0053861771170787,0.9830896258354187,0.9989127516746521,4950
evo2__mod0000__h18,0,0.9941012188762125,0.9947028756141663,0.9823870658874512,0.9996001720428467,0.0031699231701809018,0.9876840114593506,0.9981560707092285,4950
evo2__mod0000__h22,0,0.9946560350090566,0.9954552054405212,0.974622368812561,0.9996958374977112,0.0032838997233152886,0.9883118867874146,0.9983619451522827,4950
evo2__mod0000__h03,0,0.9947076043336078,0.9958232641220093,0.9796137809753418,0.9995533227920532,0.003529800058361472,0.9875463247299194,0.9985556602478027,4950
evo2__mod0000__h01,0,0.994830324938803,0.9955384135246277,0.9837729930877686,0.9996017217636108,0.002865244705902978,0.989440381526947,0.9984019994735718,4950
evo2__mod0000__h05,0,0.9950097679971445,0.995460033416748,0.9808448553085327,0.9992289543151855,0.0023442534888766142,0.9906174540519714,0.9979573488235474,4950
evo2__mod0000__h14,0,0.9952436452200919,0.9955123066902161,0.9880638122558594,0.9993791580200195,0.0019519747009958627,0.9915763139724731,0.9980198740959167,4950
evo2__mod0000__h04,0,0.9953475166330434,0.9969556331634521,0.9566439986228943,0.9995461106300354,0.005671333607311542,0.9856550097465515,0.9987887144088745,4950
evo2__mod0002__h07,2,0.9955247776436084,0.9979723691940308,0.9789175987243652,0.9998441934585571,0.004734943096853372,0.9863470196723938,0.9995768070220947,4950
evo2__mod0000__h31,0,0.9956982103863148,0.9959716200828552,0.9844556450843811,0.999525785446167,0.0018445604744408589,0.9921956062316895,0.9981606006622314,4950
evo2__mod0000__h27,0,0.9963226549432735,0.996695339679718,0.985036313533783,0.9996204972267151,0.001956450723549482,0.9926956295967102,0.9985307455062866,4950
evo2__mod0000__h16,0,0.9963335129347715,0.9970255494117737,0.9846223592758179,0.9995341300964355,0.002170835690091936,0.9922265410423279,0.9986848831176758,4950
evo2__mod0000__h26,0,0.9965358265843054,0.9965875148773193,0.9909020066261292,0.9994450211524963,0.0011402276131015996,0.9945847392082214,0.9983094334602356,4950
evo2__mod0000__h30,0,0.9966406894573058,0.9968771934509277,0.9872478246688843,0.999640166759491,0.0015754752471984997,0.9935547709465027,0.9987205266952515,4950
evo2__mod0004__h13,4,0.9967412967513306,0.9967679381370544,0.9922466278076172,1.0011212825775146,0.001385705220225736,0.9944067001342773,0.9988572597503662,4950
evo2__mod0000__h07,0,0.9967552410592937,0.9968085885047913,0.9916754364967346,0.9994600415229797,0.0011194407604302767,0.9948659539222717,0.9985005855560303,4950
evo2__mod0000__h20,0,0.9968377146817217,0.9971553683280945,0.9902402758598328,0.9996063709259033,0.0016549983089335554,0.9937015771865845,0.9989367127418518,4950
evo2__mod0003__h23,3,0.9970772237970371,0.9981127977371216,0.989501953125,0.9993288516998291,0.0021400464192295613,0.9928882718086243,0.9990684986114502,4950
evo2__mod0000__h17,0,0.9971064694120426,0.9973651766777039,0.9863918423652649,0.9997408986091614,0.0014357567361857092,0.9945119619369507,0.9989250898361206,4950
evo2__mod0002__h29,2,0.9971089945297048,0.9980884194374084,0.986869752407074,0.9997490644454956,0.0024612260073005312,0.992232084274292,0.9995133280754089,4950
evo2__mod0004__h19,4,0.9973657930378962,0.997361421585083,0.9941219091415405,1.0000126361846924,0.0010025777703686978,0.9957025051116943,0.9990524649620056,4950
evo2__mod0004__h07,4,0.9976229405884791,0.997749388217926,0.9949218034744263,1.0000360012054443,0.0009251461010150533,0.9959514141082764,0.9989397525787354,4950
evo2__mod0004__h28,4,0.9976625692362737,0.9978389739990234,0.9924207925796509,1.0008734464645386,0.001236116255915747,0.9955358505249023,0.999340832233429,4950
evo2__mod0004__h15,4,0.9976648107441989,0.9977062344551086,0.9939004778862,1.0007338523864746,0.0009610178235620512,0.9961133599281311,0.9990713596343994,4950
evo2__mod0000__h00,0,0.9977139019725298,0.9978067874908447,0.9938411116600037,0.9997395277023315,0.0009685635723580699,0.9959759712219238,0.9991133809089661,4950
evo2__mod0000__h13,0,0.9977243735573509,0.9986675381660461,0.9865632057189941,0.9998224973678589,0.0021103446600717816,0.9933872818946838,0.9995184540748596,4950
evo2__mod0004__h30,4,0.9977260661847663,0.9979897737503052,0.9952855110168457,0.9996531009674072,0.0009525161265430927,0.9960934519767761,0.9989644289016724,4950
evo2__mod0004__h29,4,0.9977911716759807,0.9978616833686829,0.9944966435432434,0.9996961951255798,0.0007824134101418712,0.9964810013771057,0.9989305138587952,4950
evo2__mod0004__h04,4,0.9978150621568314,0.9978510737419128,0.9945052862167358,1.0014094114303589,0.0010839388647667235,0.9961632490158081,0.9998846054077148,4950
evo2__mod0000__h06,0,0.9978503378352733,0.998140275478363,0.9908696413040161,0.9997453093528748,0.0011789349314563521,0.9957826733589172,0.9990970492362976,4950
evo2__mod0004__h25,4,0.9978522659552218,0.9977690577507019,0.995053231716156,1.0014286041259766,0.0007430317778737084,0.9967613220214844,0.9990611672401428,4950
evo2__mod0004__h14,4,0.9979400587202323,0.9980021715164185,0.9934852123260498,1.0011037588119507,0.0011087938952887041,0.9960554242134094,0.9995309114456177,4950
evo2__mod0004__h10,4,0.9979452407600904,0.9983644485473633,0.9925693273544312,1.0013628005981445,0.0018313397785239005,0.9946189522743225,1.0004353523254395,4950
evo2__mod0000__h02,0,0.9979744359941194,0.9980659484863281,0.9934918880462646,0.9997850060462952,0.000786945977734119,0.9965368509292603,0.9991064071655273,4950
evo2__mod0004__h18,4,0.9980188408283273,0.9981179237365723,0.9950888752937317,1.0004897117614746,0.0010614399791991967,0.9961843490600586,0.9995371699333191,4950
evo2__mod0004__h11,4,0.9981229322968107,0.9981521368026733,0.9963237047195435,0.9996791481971741,0.0005629539327032394,0.997159481048584,0.999011218547821,4950
evo2__mod0004__h02,4,0.9981529017409893,0.9982293248176575,0.9962952733039856,0.9999639391899109,0.0006487421229791983,0.9969860315322876,0.9991256594657898,4950
evo2__mod0004__h31,4,0.9981630336515831,0.9982314705848694,0.995823085308075,0.9999592304229736,0.0006734691196656882,0.9969222545623779,0.9991455674171448,4950
evo2__mod0000__h25,0,0.9981946202239604,0.9984590411186218,0.99118971824646,0.999731719493866,0.0010533378131772821,0.9959998726844788,0.9993447661399841,4950
